Mod:Item:MetaData, Localized Name
hbm:gas_mask, Gas Mask
hbm:gas_mask_m65, M65-Z Gas Mask
hbm:gas_mask_mono, Half Mask
hbm:nossy_hat, Fabulous Hat
hbm:beta, Beta Features
hbm:jetpack_fly, Jetpack
hbm:jetpack_break, Breakpack
hbm:jetpack_vector, Vectored Jetpack
hbm:jetpack_boost, Boostpack
hbm:jetpack_glider, Glider Jetpack
hbm:wings_murk, Murky Wings
hbm:wings_limp, Limp Wings
hbm:cape_radiation, Cape (Radiation)
hbm:cape_gasmask, Cape (Gas Mask)
hbm:cape_schrabidium, Cape (Schrabidic)
hbm:schrabidium_hammer, Schrabidium Hammer
hbm:shimmer_sledge, Shimmer Sledge
hbm:shimmer_axe, Shimmer Axe
hbm:ullapool_caber, Ullapool Caber
hbm:euphemium_stopper, Stopper
hbm:matchstick, Matchstick
hbm:balefire_and_steel, Balefire and Steel
hbm:wrench, Pipe Wrench
hbm:wrench_flipped, Blade on a Wrench
hbm:memespoon, §eMarket Gardener
hbm:wood_gavel, Wooden Gavel
hbm:lead_gavel, Leaden Gavel
hbm:diamond_gavel, Diamond Gavel
hbm:mese_gavel, Mese Gavel
hbm:multitool_hit, Power Fist (Fist)
hbm:multitool_dig, Power Fist (Digging Claw)
hbm:multitool_silk, Power Fist (Silk Touch Claw)
hbm:multitool_ext, Power Fist (Ore Extractor)
hbm:multitool_miner, Power Fist (Extracting Mining Laser)
hbm:multitool_beam, Power Fist (Zapper)
hbm:multitool_sky, Power Fist (Crack the Sky)
hbm:multitool_mega, Power Fist (Super Punch)
hbm:multitool_joule, Power Fist (Giga Joule)
hbm:multitool_decon, Power Fist (Decontaminator)
hbm:gun_b92, §9B92 Energy Pistol§r
hbm:gun_b93, §cB93 Energy Mod§r
hbm:gun_revolver_iron, Simple Revolver
hbm:gun_revolver, Enhanced Revolver
hbm:gun_revolver_saturnite, Saturnite Shooter
hbm:gun_revolver_gold, Golden Revolver
hbm:gun_revolver_lead, Nuka Revolver
hbm:gun_revolver_schrabidium, Schrabidium Revolver
hbm:gun_revolver_cursed, Cursed Revolver
hbm:gun_revolver_nightmare, Nightmare Revolver (Original)
hbm:gun_revolver_nightmare2, Nightmare Revolver (Dark)
hbm:gun_revolver_pip, Lil' Pipsqueak
hbm:gun_revolver_nopip, Novac
hbm:gun_revolver_blackjack, Blackjack Five-Shooter
hbm:gun_revolver_silver, Lent Gun					
hbm:gun_revolver_red, Red Key Revolver
hbm:gun_deagle, Big Iron
hbm:gun_flechette, Flechette Rifle
hbm:gun_ar15, Josh
hbm:gun_uboinik, Uboinik
hbm:gun_supershotgun, Super Shotgun
hbm:gun_jshotgun, Occult Shotgun
hbm:gun_ks23, Samuel the Big Shotgun
hbm:gun_sauer, Stan Sauer's Shotgun
hbm:gun_calamity, Calamity
hbm:gun_calamity_dual, Saddle Gun
hbm:gun_minigun, CZ53 Personal Minigun
hbm:gun_avenger, CZ57 Avenger Minigun
hbm:gun_lacunae, CZ33 Abaddon
hbm:gun_bolt_action, Dream Bolt-Action Rifle (Original)
hbm:gun_bolt_action_green, Dream Bolt-Action Rifle (Green)
hbm:gun_uzi, IMI Uzi
hbm:gun_uzi_silencer, IMI Uzi with Silencer
hbm:gun_uzi_saturnite, Saturnite Uzi
hbm:gun_uzi_saturnite_silencer, Saturnite Uzi with Silencer
hbm:gun_mp40, Submachine Gun
hbm:gun_thompson, Thompson Submachine Gun
hbm:gun_rpg, Carl Gustav Recoilless Rifle
hbm:gun_karl, Karl
hbm:gun_panzerschreck, Panzerschreck
hbm:gun_quadro, Quattro Formaggi
hbm:gun_lever_action, Mare's Leg (Original)
hbm:gun_lever_action_dark, Mare's Leg (Dark)
hbm:gun_hk69, Grenade Pistol
hbm:gun_spark, Spark Plug
hbm:gun_fatman, M42 Nuclear Catapult "Fat Man"
hbm:gun_proto, M42 Nuclear Catapult "Proto MIRV"
hbm:gun_mirv, M42 Nuclear Catapult "Experimental MIRV"
hbm:gun_bf, BEL
hbm:gun_zomg, ZOMG Cannon
hbm:gun_xvl1456, XVL1456 Tau Cannon Prototype
hbm:gun_hp, HPP Lazerjet
hbm:gun_defabricator, Defabricator
hbm:gun_vortex, Vortex
hbm:cc_plasma_gun, [WIP] CC Plasma Gun
hbm:gun_egon, Gluon Gun
hbm:gun_euthanasia, Euthanasia
hbm:gun_stinger, FIM-92 Stinger
hbm:gun_skystinger, The One Sky Stinger
hbm:gun_mp, Pacifist's Machine Gun
hbm:gun_bolter, Bolter
hbm:gun_brimstone, Brimstone Lasergun
hbm:gun_cryolator, The Cryolator
hbm:gun_jack, Jackhammer
hbm:gun_immolator, The Immolator
hbm:gun_flamer, Mister Topaz
hbm:gun_osipr, Overwatch Standard Issue Pulse Rifle
hbm:gun_emp, EMP Gun
hbm:gun_moist_nugget, Mosin-Nagant
hbm:gun_super_shotgun, Super Shotgun
hbm:gun_revolver_inverted, Flipped Revolver
hbm:gun_lever_action_sonata, Flipped Mare's Leg
hbm:gun_bolt_action_saturnite, Saturnite Rifle
hbm:gun_folly, Prototype Digamma "Folly"
hbm:gun_dampfmaschine, Totally Not a Joke Weapon
hbm:gun_darter, Dart Gun
hbm:crucible, Crucible
hbm:hs_sword, Ultrahard Steel Sword
hbm:hf_sword, High Frequency Sword
hbm:ingot_steel, Steel Ingot
hbm:ingot_titanium, Titanium Ingot
hbm:ingot_copper, Industrial Grade Copper
hbm:ingot_red_copper, Minecraft Grade Copper
hbm:ingot_advanced_alloy, Advanced Alloy Ingot
hbm:ingot_tungsten, Tungsten Ingot
hbm:ingot_aluminium, Aluminium Ingot
hbm:ingot_beryllium, Beryllium Ingot
hbm:ingot_lead, Lead Ingot
hbm:ingot_asbestos, Asbestos Sheet
hbm:ingot_magnetized_tungsten, Magnetized Tungsten Ingot
hbm:ingot_combine_steel, CMB Steel Ingot
hbm:ingot_dura_steel, High-Speed Steel Ingot
hbm:ingot_technetium, Technetium-99 Ingot
hbm:ingot_tcalloy, Technetium Steel Ingot
hbm:ingot_cdalloy, Cadmium Steel Ingot
hbm:ingot_polymer, Polymer Bar
hbm:ingot_bakelite, Bakelite Bar
hbm:ingot_rubber, Rubber Bar
hbm:ingot_biorubber, Latex Bar
hbm:ingot_desh, Desh Ingot
hbm:ingot_saturnite, Saturnite Ingot
hbm:ingot_ferrouranium, Ferrouranium Ingot
hbm:ingot_starmetal, §9Starmetal Ingot§r
hbm:ingot_osmiridium, Osmiridium Ingot
hbm:ingot_euphemium, Euphemium Ingot
hbm:ingot_dineutronium, Dineutronium Ingot
hbm:ingot_cadmium, Cadmium Ingot
hbm:ingot_bismuth, Bismuth-209 Ingot
hbm:ingot_arsenic, Arsenic Ingot
hbm:ingot_zirconium, Zirconium Cube
hbm:ingot_th232, Thorium-232 Ingot
hbm:ingot_uranium, Uranium Ingot
hbm:ingot_u233, Uranium-233 Ingot
hbm:ingot_u235, Uranium-235 Ingot
hbm:ingot_u238, Uranium-238 Ingot
hbm:ingot_u238m2:0, Metastable Uranium-238-2 Ingot
hbm:ingot_plutonium, Plutonium Ingot
hbm:ingot_pu238, Plutonium-238 Ingot
hbm:ingot_pu239, Plutonium-239 Ingot
hbm:ingot_pu240, Plutonium-240 Ingot
hbm:ingot_pu241, Plutonium-241 Ingot
hbm:ingot_pu_mix, Reactor Grade Plutonium Ingot
hbm:ingot_am241, Americium-241 Ingot
hbm:ingot_am242, Americium-242 Ingot
hbm:ingot_am_mix, Reactor Grade Americium Ingot
hbm:ingot_schraranium, Schraranium Ingot
hbm:ingot_schrabidium, Schrabidium-326 Ingot
hbm:ingot_schrabidate, Ferric Schrabidate Ingot
hbm:ingot_solinium, Solinium-327 Ingot
hbm:ingot_thorium_fuel, Ingot of Thorium Fuel
hbm:ingot_uranium_fuel, Ingot of Uranium Fuel
hbm:ingot_mox_fuel, Ingot of MOX Fuel
hbm:ingot_plutonium_fuel, Ingot of Plutonium Fuel
hbm:ingot_neptunium_fuel, Neptunium Fuel Ingot
hbm:ingot_americium_fuel, Ingot of Americium Fuel
hbm:ingot_les, Low Enriched Schrabidium Fuel Ingot
hbm:ingot_schrabidium_fuel, Ingot of Schrabidium Fuel
hbm:ingot_hes, Highly Enriched Schrabidium Fuel Ingot
hbm:ingot_neptunium, Neptunium-237 Ingot
hbm:ingot_tennessine, Tennessine-294 Ingot
hbm:ingot_polonium, Polonium-210 Ingot
hbm:ingot_phosphorus, Bar of White Phosphorus
hbm:ingot_boron, Boron Ingot
hbm:ingot_graphite, Graphite Ingot
hbm:ingot_fiberglass, Fiberglass Bar
hbm:ingot_smore, S'more Ingot
hbm:ingot_niobium, Niobium Ingot
hbm:ingot_actinium, Semi-Stable Actinium Ingot
hbm:ingot_neodymium, Neodymium Ingot
hbm:ingot_bromine, Bromine Ingot
hbm:ingot_caesium, Caesium Ingot
hbm:ingot_cerium, Cerium Ingot
hbm:ingot_lanthanium, Semi-Stable Lanthanium Ingot
hbm:ingot_tantalium, Tantalium Ingot
hbm:ingot_astatine, Astatine Ingot
hbm:ingot_firebrick, Firebrick
hbm:ingot_cobalt, Cobalt Ingot
hbm:ingot_co60, Cobalt-60 Ingot
hbm:ingot_strontium, Strontium Ingot
hbm:ingot_sr90, Strontium-90 Ingot
hbm:ingot_iodine, Iodine Ingot
hbm:ingot_i131, Iodine-131 Ingot
hbm:ingot_au198, Gold-198 Ingot
hbm:ingot_pb209, Lead-209 Ingot
hbm:ingot_ra226, Radium-226 Ingot
hbm:ingot_ac227, Actinium-227 Ingot
hbm:ingot_gh336, Ghiorsium-336 Ingot
hbm:ingot_radspice, Neoveline Ingot
hbm:ingot_electronium:0, Electronium Ingot
hbm:ingot_reiium, Reiium Ingot
hbm:ingot_weidanium, Weidanium Ingot
hbm:ingot_australium, Australium Ingot
hbm:ingot_verticium, Verticium Ingot
hbm:ingot_unobtainium, Unobtainium Ingot
hbm:ingot_daffergon, Daffergon Ingot
hbm:ingot_steel_dusted:0, Dusted Steel Ingot
hbm:ingot_chainsteel, Heavy Chainsteel
hbm:ingot_meteorite, Meteorite Ingot
hbm:ingot_meteorite_forged, Forged Meteorite Ingot
hbm:blade_meteorite, Meteorite Blade
hbm:billet_th232, Thorium-232 Billet
hbm:billet_uranium, Uranium Billet
hbm:billet_u233, Uranium-233 Billet
hbm:billet_u235, Uranium-235 Billet
hbm:billet_u238, Uranium-238 Billet
hbm:billet_plutonium, Plutonium Billet
hbm:billet_pu238, Plutonium-238 Billet
hbm:billet_pu239, Plutonium-239 Billet
hbm:billet_pu240, Plutonium-240 Billet
hbm:billet_pu241, Plutonium-241 Billet
hbm:billet_pu_mix, Reactor Grade Plutonium Billet
hbm:billet_am241, Americium-241 Billet
hbm:billet_am242, Americium-242 Billet
hbm:billet_am_mix, Reactor Grade Americium Billet
hbm:billet_neptunium, Neptunium-237 Billet
hbm:billet_polonium, Polonium-210 Billet
hbm:billet_technetium, Technetium-99 Billet
hbm:billet_co60, Cobalt-60 Billet
hbm:billet_sr90, Strontium-90 Billet
hbm:billet_au198, Gold-198 Billet
hbm:billet_pb209, Lead-209 Billet
hbm:billet_ra226, Radium-226 Billet
hbm:billet_ac227, Actinium-227 Billet
hbm:billet_gh336, Ghiorsium-336 Billet
hbm:billet_beryllium, Beryllium Billet
hbm:billet_bismuth, Bismuth-209 Billet
hbm:billet_zirconium, Zirconium Billet
hbm:billet_zfb_bismuth, Bismuth-209 ZFB Billet
hbm:billet_zfb_pu241, Pu-241 ZFB Billet
hbm:billet_zfb_am_mix, Americium ZFB Billet
hbm:billet_schrabidium, Schrabidium-326 Billet
hbm:billet_solinium, Solinium-327 Billet
hbm:billet_thorium_fuel, Thorium Fuel Billet
hbm:billet_uranium_fuel, Uranium Fuel Billet
hbm:billet_mox_fuel, MOX Fuel Billet
hbm:billet_plutonium_fuel, Plutonium Fuel Billet
hbm:billet_neptunium_fuel, Neptunium Fuel Billet
hbm:billet_americium_fuel, Americium Fuel Billet
hbm:billet_les, Low Enriched Schrabidium Fuel Billet
hbm:billet_schrabidium_fuel, Schrabidium Fuel Billet
hbm:billet_hes, Highly Enriched Schrabidium Fuel Billet
hbm:billet_po210be, Po210Be Billet
hbm:billet_ra226be, Ra226Be Billet
hbm:billet_pu238be, Pu238Be Billet
hbm:billet_australium, Australium Billet
hbm:billet_australium_lesser, Australium-405 Billet
hbm:billet_australium_greater, Australium-406 Billet
hbm:billet_unobtainium, Unobtainium Neutron Billet
hbm:billet_yharonite, Yharonite Billet
hbm:billet_balefire_gold, Flashgold Billet
hbm:billet_flashlead, Flashlead Billet
hbm:billet_nuclear_waste, Nuclear Waste Billet
hbm:bio_wafer, Bio Wafer
hbm:nugget_uranium, Uranium Nugget
hbm:nugget_u233, Uranium-233 Nugget
hbm:nugget_u235, Uranium-235 Nugget
hbm:nugget_u238, Uranium-238 Nugget
hbm:nugget_u238m2:0, Metastable U238-2 Nugget
hbm:nugget_plutonium, Plutonium Nugget
hbm:nugget_pu238, Plutonium-238 Nugget
hbm:nugget_pu239, Plutonium-239 Nugget
hbm:nugget_pu240, Plutonium-240 Nugget
hbm:nugget_th232, Thorium-232 Nugget
hbm:nugget_pu241, Plutonium-241 Nugget
hbm:nugget_pu_mix, Reactor Grade Plutonium Nugget
hbm:nugget_am241, Americium-241 Nugget
hbm:nugget_am242, Americium-242 Nugget
hbm:nugget_am_mix, Reactor Grade Americium Nugget
hbm:nugget_technetium, Technetium-99 Nugget
hbm:nugget_neptunium, Neptunium-237 Nugget
hbm:nugget_polonium, Polonium-210 Nugget
hbm:nugget_thorium_fuel, Nugget of Thorium Fuel
hbm:nugget_uranium_fuel, Nugget of Uranium Fuel
hbm:nugget_mox_fuel, Nugget of MOX Fuel
hbm:nugget_plutonium_fuel, Nugget of Plutonium Fuel
hbm:nugget_neptunium_fuel, Neptunium Fuel Nugget
hbm:nugget_americium_fuel, Americium Fuel Nugget
hbm:nugget_les, Low Enriched Schrabidium Fuel Nugget
hbm:nugget_schrabidium_fuel, Nugget of Schrabidium Fuel
hbm:nugget_hes, Highly Enriched Schrabidium Fuel Nugget
hbm:nugget_lead, Lead Nugget
hbm:nugget_beryllium, Beryllium Nugget
hbm:nugget_cadmium, Cadmium Nugget
hbm:nugget_bismuth, Bismuth-209 Nugget
hbm:nugget_arsenic, Arsenic Nugget					 
hbm:nugget_zirconium, Zirconium Splinter
hbm:nugget_tantalium, Tantalium Nugget
hbm:nugget_desh, Desh Nugget
hbm:nugget_osmiridium, Osmiridium Nugget
hbm:nugget_schrabidium, Schrabidium-326 Nugget
hbm:nugget_solinium, Solinium-327 Nugget
hbm:nugget_euphemium, Euphemium Nugget
hbm:nugget_dineutronium, Dineutronium Nugget
hbm:nugget_actinium, Actinium Nugget
hbm:nugget_ac227, Actinium-227 Nugget
hbm:nugget_cobalt, Cobalt Nugget
hbm:nugget_co60, Cobalt-60 Nugget
hbm:nugget_strontium, Strontium Nugget
hbm:nugget_sr90, Strontium-90 Nugget
hbm:nugget_pb209, Lead-209 Nugget
hbm:nugget_gh336, Ghiorsium-336 Nugget
hbm:nugget_au198, Gold-198 Nugget
hbm:nugget_ra226, Radium-226 Nugget
hbm:nugget_radspice, Neoveline Nugget
hbm:nugget_reiium, Reiium Nugget
hbm:nugget_weidanium, Weidanium Nugget
hbm:nugget_australium, Australium Nugget
hbm:nugget_australium_lesser, Australium-405 Nugget
hbm:nugget_australium_greater, Australium-406 Nugget
hbm:nugget_verticium, Verticium Nugget
hbm:nugget_unobtainium, Unobtainium Nugget
hbm:nugget_unobtainium_lesser, Unobtainium-439 Nugget
hbm:nugget_unobtainium_greater, Unobtainium-440 Nugget
hbm:nugget_daffergon, Daffergon Nugget
hbm:nugget_mercury, Small Drop of Mercury
hbm:bottle_mercury, Bottle of Mercury
hbm:powder_iron, Iron Powder
hbm:powder_gold, Gold Powder
hbm:powder_diamond, Diamond Powder
hbm:powder_emerald, Emerald Powder
hbm:powder_lapis, Lapis Lazuli Powder
hbm:powder_titanium, Titanium Powder
hbm:powder_tungsten, Tungsten Powder
hbm:powder_copper, Copper Powder
hbm:powder_beryllium, Beryllium Powder
hbm:powder_aluminium, Aluminium Powder
hbm:powder_lead, Lead Powder
hbm:powder_advanced_alloy, Advanced Alloy Powder
hbm:powder_combine_steel, CMB Steel Powder
hbm:powder_tcalloy, Technetium Steel Powder
hbm:powder_cdalloy, Cadmium Steel Powder
hbm:powder_magnetized_tungsten, Magnetized Tungsten Powder
hbm:powder_chlorophyte, Chlorophyte Powder
hbm:powder_red_copper, Red Copper Powder
hbm:powder_steel, Steel Powder
hbm:powder_steel_tiny, Tiny Pile of Steel Powder
hbm:powder_lithium, Lithium Powder
hbm:powder_lithium_tiny, Tiny Pile of Lithium Powder
hbm:redstone_depleted, Desaturated Redstone Dust
hbm:powder_quartz, Quartz Powder
hbm:powder_borax, Borax Powder
hbm:powder_dura_steel, High-Speed Steel Powder
hbm:powder_polymer, Polymer Powder
hbm:powder_bakelite, Bakelite Powder
hbm:powder_lanthanium, Lanthanium Powder
hbm:powder_lanthanium_tiny, Tiny Pile of Lanthanium Powder
hbm:powder_actinium, Actinium Powder
hbm:powder_actinium_tiny, Tiny Pile of Actinium Powder
hbm:powder_boron, Boron Powder
hbm:powder_boron_tiny, Tiny Pile of Boron Powder
hbm:powder_semtex_mix, Semtex Blend
hbm:powder_desh, Desh Powder
hbm:powder_zirconium, Zirconium Powder
hbm:powder_lignite, Lignite Powder
hbm:powder_asbestos, Asbestos Powder
hbm:powder_cadmium, Cadmium Powder
hbm:powder_bismuth, Bismuth-209 Powder
hbm:powder_coal, Coal Powder
hbm:powder_coal_tiny, Tiny Pile of Coal Powder
hbm:powder_yellowcake, Yellowcake
hbm:powder_thorium, Thorium Powder
hbm:powder_uranium, Uranium Powder
hbm:powder_plutonium, Plutonium Powder
hbm:powder_neptunium, Neptunium-237 Powder
hbm:powder_polonium, Polonium-210 Powder
hbm:powder_schrabidium, Schrabidium-326 Powder
hbm:powder_schrabidate, Ferric Schrabidate Powder
hbm:powder_euphemium, Euphemium Powder
hbm:powder_dineutronium, Dineutronium Powder
hbm:powder_iodine, Iodine Powder
hbm:powder_iodine_tiny, Tiny Pile of Iodine Powder
hbm:powder_astatine, Astatine Powder
hbm:powder_neodymium, Neodymium Powder
hbm:powder_neodymium_tiny, Tiny Pile of Neodymium Powder
hbm:powder_caesium, Caesium Powder
hbm:powder_reiium, Reiium Powder
hbm:powder_weidanium, Weidanium Powder
hbm:powder_australium, Australium Powder
hbm:powder_verticium, Verticium Powder
hbm:powder_unobtainium, Unobtainium Powder
hbm:powder_daffergon, Daffergon Powder
hbm:powder_strontium, Strontium Powder
hbm:powder_cobalt, Cobalt Powder
hbm:powder_cobalt_tiny, Tiny Pile of Cobalt Powder
hbm:powder_bromine, Bromine Powder
hbm:powder_niobium, Niobium Powder
hbm:powder_niobium_tiny, Tiny Pile of Niobium Powder
hbm:powder_tantalium, Tantalium Powder
hbm:powder_tennessine, Tennessine-294 Powder
hbm:powder_cerium, Cerium Powder
hbm:powder_cerium_tiny, Tiny Pile of Cerium Powder
hbm:powder_ice, Cryo Powder
hbm:powder_desh_mix, Desh Blend
hbm:powder_desh_ready, DeshReady™ Blend
hbm:powder_nitan_mix, Nitanium Blend
hbm:powder_spark_mix, Spark Blend
hbm:powder_fire, Red Phosphorus
hbm:powder_meteorite, Meteorite Powder
hbm:powder_meteorite_tiny, Tiny Pile of Meteorite Powder
hbm:powder_tektite, Tektite Powder
hbm:powder_paleogenite_tiny, Tiny Pile of Paleogenite Powder
hbm:powder_paleogenite, Paleogenite Powder
hbm:powder_impure_osmiridium, Impure Osmiridium Powder
hbm:powder_osmiridium, Osmiridium Powder
hbm:powder_magic, Pulverized Enchantment
hbm:powder_cloud, Cloud Residue
hbm:powder_balefire, Thermonuclear Ashes
hbm:powder_coltan_ore, Crushed Coltan
hbm:powder_coltan, Purified Tantalite
hbm:powder_poison, Poison Powder
hbm:powder_thermite, Thermite
hbm:powder_power, Energy Powder
hbm:powder_co60, Cobalt-60 Powder
hbm:powder_co60_tiny, Tiny Pile of Cobalt-60 Powder
hbm:powder_sr90, Strontium-90 Powder
hbm:powder_sr90_tiny, Tiny Pile of Strontium-90 Powder
hbm:powder_at209, Astatine-209 Powder
hbm:powder_at209_tiny, Tiny Pile of Astatine-209 Powder
hbm:powder_pb209, Lead-209 Powder
hbm:powder_pb209_tiny, Tiny Pile of Lead-209 Powder
hbm:powder_i131, Iodine-131 Powder
hbm:powder_i131_tiny, Tiny Pile of Iodine-131 Powder
hbm:powder_cs137, Caesium-137 Powder
hbm:powder_cs137_tiny, Tiny Pile of Caesium-137 Powder
hbm:powder_xe135, Xenon-135 Powder
hbm:powder_xe135_tiny, Tiny Pile of Xenon-135 Powder
hbm:powder_au198, Gold-198 Powder
hbm:powder_au198_tiny, Tiny Pile of Gold-198 Powder
hbm:powder_ra226, Radium-226 Powder
hbm:powder_ac227, Actinium-227 Powder
hbm:powder_ac227_tiny, Tiny Pile of Actinium-227 Powder
hbm:powder_radspice, Neoveline Powder
hbm:powder_radspice_tiny, Tiny Pile of Neoveline Powder
hbm:sulfur, Sulfur
hbm:niter, Niter
hbm:fluorite, Fluorite
hbm:lithium, Lithium Cube
hbm:ingot_semtex, Bar of Semtex
hbm:ingot_c4, Bar of C-4
hbm:trinitite, Trinitite
hbm:nuclear_waste_long:0, Long-Lived Nuclear Waste
hbm:nuclear_waste_long:1, Long-Lived Nuclear Waste
hbm:nuclear_waste_long:2, Long-Lived Nuclear Waste
hbm:nuclear_waste_long:3, Long-Lived Nuclear Waste
hbm:nuclear_waste_long:4, Long-Lived Nuclear Waste
hbm:nuclear_waste_long_tiny:0, Tiny Pile of Long-Lived Nuclear Waste
hbm:nuclear_waste_long_tiny:1, Tiny Pile of Long-Lived Nuclear Waste
hbm:nuclear_waste_long_tiny:2, Tiny Pile of Long-Lived Nuclear Waste
hbm:nuclear_waste_long_tiny:3, Tiny Pile of Long-Lived Nuclear Waste
hbm:nuclear_waste_long_tiny:4, Tiny Pile of Long-Lived Nuclear Waste
hbm:nuclear_waste_short:0, Short-Lived Nuclear Waste
hbm:nuclear_waste_short:1, Short-Lived Nuclear Waste
hbm:nuclear_waste_short:2, Short-Lived Nuclear Waste
hbm:nuclear_waste_short:3, Short-Lived Nuclear Waste
hbm:nuclear_waste_short:4, Short-Lived Nuclear Waste
hbm:nuclear_waste_short:5, Short-Lived Nuclear Waste
hbm:nuclear_waste_short:6, Short-Lived Nuclear Waste
hbm:nuclear_waste_short:7, Short-Lived Nuclear Waste
hbm:nuclear_waste_short_tiny:0, Tiny Pile of Short-Lived Nuclear Waste
hbm:nuclear_waste_short_tiny:1, Tiny Pile of Short-Lived Nuclear Waste
hbm:nuclear_waste_short_tiny:2, Tiny Pile of Short-Lived Nuclear Waste
hbm:nuclear_waste_short_tiny:3, Tiny Pile of Short-Lived Nuclear Waste
hbm:nuclear_waste_short_tiny:4, Tiny Pile of Short-Lived Nuclear Waste
hbm:nuclear_waste_short_tiny:5, Tiny Pile of Short-Lived Nuclear Waste
hbm:nuclear_waste_short_tiny:6, Tiny Pile of Short-Lived Nuclear Waste
hbm:nuclear_waste_short_tiny:7, Tiny Pile of Short-Lived Nuclear Waste
hbm:nuclear_waste_long_depleted:0, Decayed Long-Lived Nuclear Waste
hbm:nuclear_waste_long_depleted:1, Decayed Long-Lived Nuclear Waste
hbm:nuclear_waste_long_depleted:2, Decayed Long-Lived Nuclear Waste
hbm:nuclear_waste_long_depleted:3, Decayed Long-Lived Nuclear Waste
hbm:nuclear_waste_long_depleted:4, Decayed Long-Lived Nuclear Waste
hbm:nuclear_waste_long_depleted_tiny:0, Tiny Pile of Decayed Long-Lived Nuclear Waste
hbm:nuclear_waste_long_depleted_tiny:1, Tiny Pile of Decayed Long-Lived Nuclear Waste
hbm:nuclear_waste_long_depleted_tiny:2, Tiny Pile of Decayed Long-Lived Nuclear Waste
hbm:nuclear_waste_long_depleted_tiny:3, Tiny Pile of Decayed Long-Lived Nuclear Waste
hbm:nuclear_waste_long_depleted_tiny:4, Tiny Pile of Decayed Long-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted:0, Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted:1, Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted:2, Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted:3, Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted:4, Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted:5, Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted:6, Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted:7, Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted_tiny:0, Tiny Pile of Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted_tiny:1, Tiny Pile of Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted_tiny:2, Tiny Pile of Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted_tiny:3, Tiny Pile of Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted_tiny:4, Tiny Pile of Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted_tiny:5, Tiny Pile of Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted_tiny:6, Tiny Pile of Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste_short_depleted_tiny:7, Tiny Pile of Decayed Short-Lived Nuclear Waste
hbm:nuclear_waste, Nuclear Waste
hbm:nuclear_waste_tiny, Tiny Pile of Nuclear Waste
hbm:nuclear_waste_vitrified, Vitrified Nuclear Waste
hbm:nuclear_waste_vitrified_tiny, Tiny Pile of Vitrified Nuclear Waste
hbm:waste_uranium, Depleted Uranium Fuel
hbm:waste_thorium, Depleted Thorium Fuel
hbm:waste_plutonium, Depleted Plutonium Fuel
hbm:waste_mox, Depleted MOX Fuel
hbm:waste_schrabidium, Depleted Schrabidium Fuel
